"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2018,1,"Ciutat Vella",1,"el Raval","Nens",215
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Nens",73
2018,1,"Ciutat Vella",3,"la Barceloneta","Nens",39
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nens",77
2018,2,"Eixample",5,"el Fort Pienc","Nens",122
2018,2,"Eixample",6,"la Sagrada Família","Nens",191
2018,2,"Eixample",7,"la Dreta de l'Eixample","Nens",157
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nens",157
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nens",209
2018,2,"Eixample",10,"Sant Antoni","Nens",168
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Nens",183
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nens",9
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Nens",105
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nens",28
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Nens",75
2018,3,"Sants-Montjuïc",16,"la Bordeta","Nens",81
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Nens",97
2018,3,"Sants-Montjuïc",18,"Sants","Nens",177
2018,4,"Les Corts",19,"les Corts","Nens",188
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nens",90
2018,4,"Les Corts",21,"Pedralbes","Nens",50
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nens",25
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nens",95
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nens",62
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nens",87
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nens",193
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nens",138
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Nens",63
2018,6,"Gràcia",29,"el Coll","Nens",21
2018,6,"Gràcia",30,"la Salut","Nens",51
2018,6,"Gràcia",31,"la Vila de Gràcia","Nens",250
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nens",131
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Nens",104
2018,7,"Horta-Guinardó",34,"Can Baró","Nens",40
2018,7,"Horta-Guinardó",35,"el Guinardó","Nens",154
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nens",28
2018,7,"Horta-Guinardó",37,"el Carmel","Nens",112
2018,7,"Horta-Guinardó",38,"la Teixonera","Nens",44
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nens",28
2018,7,"Horta-Guinardó",40,"Montbau","Nens",14
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nens",29
2018,7,"Horta-Guinardó",42,"la Clota","Nens",6
2018,7,"Horta-Guinardó",43,"Horta","Nens",95
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nens",86
2018,8,"Nou Barris",45,"Porta","Nens",98
2018,8,"Nou Barris",46,"el Turó de la Peira","Nens",92
2018,8,"Nou Barris",47,"Can Peguera","Nens",10
2018,8,"Nou Barris",48,"la Guineueta","Nens",45
2018,8,"Nou Barris",49,"Canyelles","Nens",18
2018,8,"Nou Barris",50,"les Roquetes","Nens",78
2018,8,"Nou Barris",51,"Verdun","Nens",57
2018,8,"Nou Barris",52,"la Prosperitat","Nens",87
2018,8,"Nou Barris",53,"la Trinitat Nova","Nens",40
2018,8,"Nou Barris",54,"Torre Baró","Nens",15
2018,8,"Nou Barris",55,"Ciutat Meridiana","Nens",59
2018,8,"Nou Barris",56,"Vallbona","Nens",4
2018,9,"Sant Andreu",57,"la Trinitat Vella","Nens",66
2018,9,"Sant Andreu",58,"Baró de Viver","Nens",10
2018,9,"Sant Andreu",59,"el Bon Pastor","Nens",53
2018,9,"Sant Andreu",60,"Sant Andreu","Nens",253
2018,9,"Sant Andreu",61,"la Sagrera","Nens",91
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Nens",47
2018,9,"Sant Andreu",63,"Navas","Nens",59
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nens",158
2018,10,"Sant Martí",65,"el Clot","Nens",98
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nens",77
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nens",34
2018,10,"Sant Martí",68,"el Poblenou","Nens",138
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nens",89
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Nens",120
2018,10,"Sant Martí",71,"Provençals del Poblenou","Nens",103
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Nens",70
2018,10,"Sant Martí",73,"la Verneda i la Pau","Nens",98
2018,1,"Ciutat Vella",1,"el Raval","Nenes",221
2018,1,"Ciutat Vella",2,"el Barri Gòtic","Nenes",53
2018,1,"Ciutat Vella",3,"la Barceloneta","Nenes",43
2018,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Nenes",69
2018,2,"Eixample",5,"el Fort Pienc","Nenes",145
2018,2,"Eixample",6,"la Sagrada Família","Nenes",190
2018,2,"Eixample",7,"la Dreta de l'Eixample","Nenes",179
2018,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Nenes",168
2018,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Nenes",212
2018,2,"Eixample",10,"Sant Antoni","Nenes",169
2018,3,"Sants-Montjuïc",11,"el Poble Sec","Nenes",153
2018,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Nenes",5
2018,3,"Sants-Montjuïc",13,"la Marina de Port","Nenes",105
2018,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Nenes",28
2018,3,"Sants-Montjuïc",15,"Hostafrancs","Nenes",67
2018,3,"Sants-Montjuïc",16,"la Bordeta","Nenes",64
2018,3,"Sants-Montjuïc",17,"Sants - Badal","Nenes",106
2018,3,"Sants-Montjuïc",18,"Sants","Nenes",165
2018,4,"Les Corts",19,"les Corts","Nenes",171
2018,4,"Les Corts",20,"la Maternitat i Sant Ramon","Nenes",87
2018,4,"Les Corts",21,"Pedralbes","Nenes",28
2018,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Nenes",15
2018,5,"Sarrià-Sant Gervasi",23,"Sarrià","Nenes",110
2018,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Nenes",53
2018,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Nenes",96
2018,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Nenes",190
2018,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Nenes",114
2018,6,"Gràcia",28,"Vallcarca i els Penitents","Nenes",66
2018,6,"Gràcia",29,"el Coll","Nenes",28
2018,6,"Gràcia",30,"la Salut","Nenes",55
2018,6,"Gràcia",31,"la Vila de Gràcia","Nenes",256
2018,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Nenes",137
2018,7,"Horta-Guinardó",33,"el Baix Guinardó","Nenes",95
2018,7,"Horta-Guinardó",34,"Can Baró","Nenes",41
2018,7,"Horta-Guinardó",35,"el Guinardó","Nenes",154
2018,7,"Horta-Guinardó",36,"la Font d'en Fargues","Nenes",39
2018,7,"Horta-Guinardó",37,"el Carmel","Nenes",140
2018,7,"Horta-Guinardó",38,"la Teixonera","Nenes",38
2018,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Nenes",27
2018,7,"Horta-Guinardó",40,"Montbau","Nenes",19
2018,7,"Horta-Guinardó",41,"la Vall d'Hebron","Nenes",28
2018,7,"Horta-Guinardó",42,"la Clota","Nenes",6
2018,7,"Horta-Guinardó",43,"Horta","Nenes",102
2018,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Nenes",91
2018,8,"Nou Barris",45,"Porta","Nenes",96
2018,8,"Nou Barris",46,"el Turó de la Peira","Nenes",57
2018,8,"Nou Barris",47,"Can Peguera","Nenes",8
2018,8,"Nou Barris",48,"la Guineueta","Nenes",36
2018,8,"Nou Barris",49,"Canyelles","Nenes",14
2018,8,"Nou Barris",50,"les Roquetes","Nenes",84
2018,8,"Nou Barris",51,"Verdun","Nenes",50
2018,8,"Nou Barris",52,"la Prosperitat","Nenes",91
2018,8,"Nou Barris",53,"la Trinitat Nova","Nenes",28
2018,8,"Nou Barris",54,"Torre Baró","Nenes",13
2018,8,"Nou Barris",55,"Ciutat Meridiana","Nenes",42
2018,8,"Nou Barris",56,"Vallbona","Nenes",3
2018,9,"Sant Andreu",57,"la Trinitat Vella","Nenes",59
2018,9,"Sant Andreu",58,"Baró de Viver","Nenes",10
2018,9,"Sant Andreu",59,"el Bon Pastor","Nenes",78
2018,9,"Sant Andreu",60,"Sant Andreu","Nenes",212
2018,9,"Sant Andreu",61,"la Sagrera","Nenes",90
2018,9,"Sant Andreu",62,"el Congrés i els Indians","Nenes",46
2018,9,"Sant Andreu",63,"Navas","Nenes",77
2018,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Nenes",144
2018,10,"Sant Martí",65,"el Clot","Nenes",91
2018,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Nenes",63
2018,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Nenes",32
2018,10,"Sant Martí",68,"el Poblenou","Nenes",149
2018,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Nenes",70
2018,10,"Sant Martí",70,"el Besòs i el Maresme","Nenes",127
2018,10,"Sant Martí",71,"Provençals del Poblenou","Nenes",101
2018,10,"Sant Martí",72,"Sant Martí de Provençals","Nenes",85
2018,10,"Sant Martí",73,"la Verneda i la Pau","Nenes",91
