"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2019,1,1,"Ciutat Vella",1,"el Raval","Lloguer mitjà mensual (Euros/mes)","822.6"
2019,1,1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà mensual (Euros/mes)","1060.9"
2019,1,1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà mensual (Euros/mes)","891.3"
2019,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà mensual (Euros/mes)","990.2"
2019,1,2,"Eixample",5,"el Fort Pienc","Lloguer mitjà mensual (Euros/mes)","957.2"
2019,1,2,"Eixample",6,"la Sagrada Família","Lloguer mitjà mensual (Euros/mes)","936.3"
2019,1,2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1269.1"
2019,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1123.0"
2019,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà mensual (Euros/mes)","1008.5"
2019,1,2,"Eixample",10,"Sant Antoni","Lloguer mitjà mensual (Euros/mes)","986.2"
2019,1,3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà mensual (Euros/mes)","815.8"
2019,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà mensual (Euros/mes)","N/A"
2019,1,3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà mensual (Euros/mes)","714.9"
2019,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà mensual (Euros/mes)","857.6"
2019,1,3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà mensual (Euros/mes)","810.0"
2019,1,3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà mensual (Euros/mes)","844.1"
2019,1,3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà mensual (Euros/mes)","823.5"
2019,1,3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà mensual (Euros/mes)","873.0"
2019,1,4,"Les Corts",19,"les Corts","Lloguer mitjà mensual (Euros/mes)","1070.0"
2019,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà mensual (Euros/mes)","938.5"
2019,1,4,"Les Corts",21,"Pedralbes","Lloguer mitjà mensual (Euros/mes)","1732.5"
2019,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjà mensual (Euros/mes)","1103.5"
2019,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Lloguer mitjà mensual (Euros/mes)","1297.7"
2019,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Lloguer mitjà mensual (Euros/mes)","1645.9"
2019,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjà mensual (Euros/mes)","1226.4"
2019,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjà mensual (Euros/mes)","1357.9"
2019,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Lloguer mitjà mensual (Euros/mes)","1057.1"
2019,1,6,"Gràcia",28,"Vallcarca i els Penitents","Lloguer mitjà mensual (Euros/mes)","907.5"
2019,1,6,"Gràcia",29,"el Coll","Lloguer mitjà mensual (Euros/mes)","750.6"
2019,1,6,"Gràcia",30,"la Salut","Lloguer mitjà mensual (Euros/mes)","883.4"
2019,1,6,"Gràcia",31,"la Vila de Gràcia","Lloguer mitjà mensual (Euros/mes)","933.4"
2019,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Lloguer mitjà mensual (Euros/mes)","937.3"
2019,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Lloguer mitjà mensual (Euros/mes)","859.1"
2019,1,7,"Horta-Guinardó",34,"Can Baró","Lloguer mitjà mensual (Euros/mes)","791.2"
2019,1,7,"Horta-Guinardó",35,"el Guinardó","Lloguer mitjà mensual (Euros/mes)","789.8"
2019,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Lloguer mitjà mensual (Euros/mes)","796.5"
2019,1,7,"Horta-Guinardó",37,"el Carmel","Lloguer mitjà mensual (Euros/mes)","670.6"
2019,1,7,"Horta-Guinardó",38,"la Teixonera","Lloguer mitjà mensual (Euros/mes)","704.4"
2019,1,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Lloguer mitjà mensual (Euros/mes)","759.2"
2019,1,7,"Horta-Guinardó",40,"Montbau","Lloguer mitjà mensual (Euros/mes)","780.4"
2019,1,7,"Horta-Guinardó",41,"la Vall d'Hebron","Lloguer mitjà mensual (Euros/mes)","870.2"
2019,1,7,"Horta-Guinardó",42,"la Clota","Lloguer mitjà mensual (Euros/mes)","N/A"
2019,1,7,"Horta-Guinardó",43,"Horta","Lloguer mitjà mensual (Euros/mes)","777.0"
2019,1,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Lloguer mitjà mensual (Euros/mes)","758.5"
2019,1,8,"Nou Barris",45,"Porta","Lloguer mitjà mensual (Euros/mes)","722.8"
2019,1,8,"Nou Barris",46,"el Turó de la Peira","Lloguer mitjà mensual (Euros/mes)","685.3"
2019,1,8,"Nou Barris",47,"Can Peguera","Lloguer mitjà mensual (Euros/mes)","N/A"
