"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Seccio_Censal","Import_Euros"
2019,1,"Ciutat Vella",1,"el Raval",1,27387
2019,1,"Ciutat Vella",1,"el Raval",2,23230
2019,1,"Ciutat Vella",1,"el Raval",3,25565
2019,1,"Ciutat Vella",1,"el Raval",4,28470
2019,1,"Ciutat Vella",1,"el Raval",5,23125
2019,1,"Ciutat Vella",1,"el Raval",6,26841
2019,1,"Ciutat Vella",1,"el Raval",7,26687
2019,1,"Ciutat Vella",1,"el Raval",8,23425
2019,1,"Ciutat Vella",1,"el Raval",9,25691
2019,1,"Ciutat Vella",1,"el Raval",10,24571
2019,1,"Ciutat Vella",1,"el Raval",11,22624
2019,1,"Ciutat Vella",1,"el Raval",12,26152
2019,1,"Ciutat Vella",1,"el Raval",13,29882
2019,1,"Ciutat Vella",1,"el Raval",14,26821
2019,1,"Ciutat Vella",1,"el Raval",15,27847
2019,1,"Ciutat Vella",1,"el Raval",16,29258
2019,1,"Ciutat Vella",1,"el Raval",17,27588
2019,1,"Ciutat Vella",1,"el Raval",18,27205
2019,1,"Ciutat Vella",1,"el Raval",19,25567
2019,1,"Ciutat Vella",1,"el Raval",20,35218
2019,1,"Ciutat Vella",1,"el Raval",21,29980
2019,1,"Ciutat Vella",2,"el Gòtic",22,37791
2019,1,"Ciutat Vella",2,"el Gòtic",23,33108
2019,1,"Ciutat Vella",2,"el Gòtic",25,29779
2019,1,"Ciutat Vella",2,"el Gòtic",26,31867
2019,1,"Ciutat Vella",2,"el Gòtic",27,29251
2019,1,"Ciutat Vella",2,"el Gòtic",28,29402
2019,1,"Ciutat Vella",2,"el Gòtic",29,26225
2019,1,"Ciutat Vella",2,"el Gòtic",30,27729
2019,1,"Ciutat Vella",2,"el Gòtic",31,27696
2019,1,"Ciutat Vella",3,"la Barceloneta",32,28759
2019,1,"Ciutat Vella",3,"la Barceloneta",33,25309
2019,1,"Ciutat Vella",3,"la Barceloneta",34,24159
2019,1,"Ciutat Vella",3,"la Barceloneta",35,24822
2019,1,"Ciutat Vella",3,"la Barceloneta",36,30951
2019,1,"Ciutat Vella",3,"la Barceloneta",37,30363
2019,1,"Ciutat Vella",3,"la Barceloneta",38,24684
2019,1,"Ciutat Vella",3,"la Barceloneta",39,28278
2019,1,"Ciutat Vella",3,"la Barceloneta",40,27752
2019,1,"Ciutat Vella",3,"la Barceloneta",41,23468
2019,1,"Ciutat Vella",3,"la Barceloneta",42,29776
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",43,36613
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",44,36057
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",45,28257
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",46,27948
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",47,26614
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",48,23026
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",49,35210
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",50,29685
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",51,25512
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",52,43532
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",53,24279
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",54,27263
2019,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera",55,37555
2019,2,"Eixample",5,"el Fort Pienc",1,42137
2019,2,"Eixample",5,"el Fort Pienc",2,41338
2019,2,"Eixample",5,"el Fort Pienc",3,44343
2019,2,"Eixample",5,"el Fort Pienc",4,39672
2019,2,"Eixample",5,"el Fort Pienc",5,44822
2019,2,"Eixample",5,"el Fort Pienc",6,47206
2019,2,"Eixample",5,"el Fort Pienc",7,45955
2019,2,"Eixample",5,"el Fort Pienc",8,45543
2019,2,"Eixample",5,"el Fort Pienc",9,45773
2019,2,"Eixample",5,"el Fort Pienc",10,42550
2019,2,"Eixample",5,"el Fort Pienc",11,42225
2019,2,"Eixample",5,"el Fort Pienc",12,36324
2019,2,"Eixample",5,"el Fort Pienc",13,33477
2019,2,"Eixample",5,"el Fort Pienc",14,34352
2019,2,"Eixample",5,"el Fort Pienc",15,36181
2019,2,"Eixample",5,"el Fort Pienc",16,45156
2019,2,"Eixample",5,"el Fort Pienc",17,47064
2019,2,"Eixample",5,"el Fort Pienc",18,46824
2019,2,"Eixample",5,"el Fort Pienc",19,41259
2019,2,"Eixample",5,"el Fort Pienc",20,35610
2019,2,"Eixample",6,"la Sagrada Família",21,38722
2019,2,"Eixample",6,"la Sagrada Família",22,41354
2019,2,"Eixample",6,"la Sagrada Família",23,39255
2019,2,"Eixample",6,"la Sagrada Família",24,37764
2019,2,"Eixample",6,"la Sagrada Família",25,35605
2019,2,"Eixample",6,"la Sagrada Família",26,41294
2019,2,"Eixample",6,"la Sagrada Família",27,41378
2019,2,"Eixample",6,"la Sagrada Família",28,40650
2019,2,"Eixample",6,"la Sagrada Família",29,39799
2019,2,"Eixample",6,"la Sagrada Família",30,32576
2019,2,"Eixample",6,"la Sagrada Família",31,44918
2019,2,"Eixample",6,"la Sagrada Família",32,41885
2019,2,"Eixample",6,"la Sagrada Família",33,38844
2019,2,"Eixample",6,"la Sagrada Família",34,34777
2019,2,"Eixample",6,"la Sagrada Família",35,42614
2019,2,"Eixample",6,"la Sagrada Família",36,44170
2019,2,"Eixample",6,"la Sagrada Família",37,46457
2019,2,"Eixample",6,"la Sagrada Família",38,45750
2019,2,"Eixample",6,"la Sagrada Família",39,39686
2019,2,"Eixample",6,"la Sagrada Família",40,34459
2019,2,"Eixample",6,"la Sagrada Família",41,38117
2019,2,"Eixample",6,"la Sagrada Família",42,46488
2019,2,"Eixample",6,"la Sagrada Família",43,44538
2019,2,"Eixample",6,"la Sagrada Família",44,38021
2019,2,"Eixample",6,"la Sagrada Família",45,46507
2019,2,"Eixample",6,"la Sagrada Família",46,38036
2019,2,"Eixample",6,"la Sagrada Família",47,41713
2019,2,"Eixample",6,"la Sagrada Família",48,40302
2019,2,"Eixample",6,"la Sagrada Família",49,36297
2019,2,"Eixample",6,"la Sagrada Família",50,36962
2019,2,"Eixample",6,"la Sagrada Família",51,35283
2019,2,"Eixample",6,"la Sagrada Família",52,39414
2019,2,"Eixample",6,"la Sagrada Família",53,39971
2019,2,"Eixample",6,"la Sagrada Família",54,42887
2019,2,"Eixample",7,"la Dreta de l'Eixample",55,43653
2019,2,"Eixample",7,"la Dreta de l'Eixample",56,43014
2019,2,"Eixample",7,"la Dreta de l'Eixample",57,56946
2019,2,"Eixample",7,"la Dreta de l'Eixample",58,47199
2019,2,"Eixample",7,"la Dreta de l'Eixample",59,54311
2019,2,"Eixample",7,"la Dreta de l'Eixample",60,45775
2019,2,"Eixample",7,"la Dreta de l'Eixample",61,41655
2019,2,"Eixample",7,"la Dreta de l'Eixample",62,49767
2019,2,"Eixample",7,"la Dreta de l'Eixample",63,68654
2019,2,"Eixample",7,"la Dreta de l'Eixample",64,57265
2019,2,"Eixample",7,"la Dreta de l'Eixample",65,48029
2019,2,"Eixample",7,"la Dreta de l'Eixample",66,46547
2019,2,"Eixample",7,"la Dreta de l'Eixample",67,39081
2019,2,"Eixample",7,"la Dreta de l'Eixample",68,42348
2019,2,"Eixample",7,"la Dreta de l'Eixample",69,49140
2019,2,"Eixample",7,"la Dreta de l'Eixample",70,54335
2019,2,"Eixample",7,"la Dreta de l'Eixample",71,54911
2019,2,"Eixample",7,"la Dreta de l'Eixample",72,60784
2019,2,"Eixample",7,"la Dreta de l'Eixample",73,56834
2019,2,"Eixample",7,"la Dreta de l'Eixample",74,54703
2019,2,"Eixample",7,"la Dreta de l'Eixample",75,51442
2019,2,"Eixample",7,"la Dreta de l'Eixample",76,61456
2019,2,"Eixample",7,"la Dreta de l'Eixample",77,48785
2019,2,"Eixample",7,"la Dreta de l'Eixample",78,67917
2019,2,"Eixample",7,"la Dreta de l'Eixample",79,58482
2019,2,"Eixample",7,"la Dreta de l'Eixample",80,59649
2019,2,"Eixample",7,"la Dreta de l'Eixample",81,61578
2019,2,"Eixample",7,"la Dreta de l'Eixample",82,53927
2019,2,"Eixample",7,"la Dreta de l'Eixample",83,63614
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",84,48134
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",85,47989
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",86,55125
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",87,48490
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",88,49935
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",89,47263
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",90,44290
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",91,46644
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",92,43072
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",93,48213
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",94,47538
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",95,45405
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",96,43387
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",97,40709
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",98,43820
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",99,51005
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",100,43891
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",101,43793
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",102,54042
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",103,38206
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",104,49983
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",105,40762
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",106,50472
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",107,50517
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",108,56163
2019,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample",109,56423
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",110,42729
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",111,45917
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",112,58052
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",113,56833
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",114,42238
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",115,39426
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",116,55181
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",117,44105
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",118,51103
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",119,46403
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",120,42544
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",121,41928
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",122,50895
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",123,40203
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",124,47617
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",125,44800
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",126,47886
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",127,40511
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",128,40157
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",129,44034
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",130,67699
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",131,40392
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",132,47221
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",133,44058
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",134,39883
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",135,37823
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",136,43221
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",137,39365
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",138,47873
2019,2,"Eixample",9,"la Nova Esquerra de l'Eixample",139,37613
