"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Edats_quinquennals","Nombre"
2020,1,"Ciutat Vella",1,"el Raval","Menys d'1 any",2
2020,1,"Ciutat Vella",2,"el Barri Gòtic","Menys d'1 any",0
2020,1,"Ciutat Vella",3,"la Barceloneta","Menys d'1 any",0
2020,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Menys d'1 any",0
2020,2,"Eixample",5,"el Fort Pienc","Menys d'1 any",1
2020,2,"Eixample",6,"la Sagrada Família","Menys d'1 any",1
2020,2,"Eixample",7,"la Dreta de l'Eixample","Menys d'1 any",1
2020,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Menys d'1 any",0
2020,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Menys d'1 any",1
2020,2,"Eixample",10,"Sant Antoni","Menys d'1 any",0
2020,3,"Sants-Montjuïc",11,"el Poble Sec","Menys d'1 any",0
2020,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Menys d'1 any",0
2020,3,"Sants-Montjuïc",13,"la Marina de Port","Menys d'1 any",0
2020,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Menys d'1 any",0
2020,3,"Sants-Montjuïc",15,"Hostafrancs","Menys d'1 any",0
2020,3,"Sants-Montjuïc",16,"la Bordeta","Menys d'1 any",0
2020,3,"Sants-Montjuïc",17,"Sants - Badal","Menys d'1 any",0
2020,3,"Sants-Montjuïc",18,"Sants","Menys d'1 any",0
2020,4,"Les Corts",19,"les Corts","Menys d'1 any",0
2020,4,"Les Corts",20,"la Maternitat i Sant Ramon","Menys d'1 any",0
2020,4,"Les Corts",21,"Pedralbes","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",23,"Sarrià","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Menys d'1 any",0
2020,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Menys d'1 any",0
2020,6,"Gràcia",28,"Vallcarca i els Penitents","Menys d'1 any",0
2020,6,"Gràcia",29,"el Coll","Menys d'1 any",0
2020,6,"Gràcia",30,"la Salut","Menys d'1 any",0
2020,6,"Gràcia",31,"la Vila de Gràcia","Menys d'1 any",0
2020,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Menys d'1 any",1
2020,7,"Horta-Guinardó",33,"el Baix Guinardó","Menys d'1 any",0
2020,7,"Horta-Guinardó",34,"Can Baró","Menys d'1 any",0
2020,7,"Horta-Guinardó",35,"el Guinardó","Menys d'1 any",1
2020,7,"Horta-Guinardó",36,"la Font d'en Fargues","Menys d'1 any",0
2020,7,"Horta-Guinardó",37,"el Carmel","Menys d'1 any",0
2020,7,"Horta-Guinardó",38,"la Teixonera","Menys d'1 any",0
2020,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Menys d'1 any",0
2020,7,"Horta-Guinardó",40,"Montbau","Menys d'1 any",0
2020,7,"Horta-Guinardó",41,"la Vall d'Hebron","Menys d'1 any",0
2020,7,"Horta-Guinardó",42,"la Clota","Menys d'1 any",0
2020,7,"Horta-Guinardó",43,"Horta","Menys d'1 any",0
2020,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Menys d'1 any",0
2020,8,"Nou Barris",45,"Porta","Menys d'1 any",0
2020,8,"Nou Barris",46,"el Turó de la Peira","Menys d'1 any",0
2020,8,"Nou Barris",47,"Can Peguera","Menys d'1 any",0
2020,8,"Nou Barris",48,"la Guineueta","Menys d'1 any",0
2020,8,"Nou Barris",49,"Canyelles","Menys d'1 any",0
2020,8,"Nou Barris",50,"les Roquetes","Menys d'1 any",0
2020,8,"Nou Barris",51,"Verdun","Menys d'1 any",0
2020,8,"Nou Barris",52,"la Prosperitat","Menys d'1 any",0
2020,8,"Nou Barris",53,"la Trinitat Nova","Menys d'1 any",1
2020,8,"Nou Barris",54,"Torre Baró","Menys d'1 any",0
2020,8,"Nou Barris",55,"Ciutat Meridiana","Menys d'1 any",0
2020,8,"Nou Barris",56,"Vallbona","Menys d'1 any",0
2020,9,"Sant Andreu",57,"la Trinitat Vella","Menys d'1 any",0
2020,9,"Sant Andreu",58,"Baró de Viver","Menys d'1 any",0
2020,9,"Sant Andreu",59,"el Bon Pastor","Menys d'1 any",0
2020,9,"Sant Andreu",60,"Sant Andreu","Menys d'1 any",2
2020,9,"Sant Andreu",61,"la Sagrera","Menys d'1 any",0
2020,9,"Sant Andreu",62,"el Congrés i els Indians","Menys d'1 any",0
2020,9,"Sant Andreu",63,"Navas","Menys d'1 any",1
2020,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Menys d'1 any",1
2020,10,"Sant Martí",65,"el Clot","Menys d'1 any",1
2020,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Menys d'1 any",0
2020,10,"Sant Martí",68,"el Poblenou","Menys d'1 any",0
