"Year","District Code","District Name","Neighborhood Code","Neighborhood Name","Gender","Number"
2017,1,"Ciutat Vella",1,"el Raval","Boys",283
2017,1,"Ciutat Vella",2,"el Barri Gòtic","Boys",56
2017,1,"Ciutat Vella",3,"la Barceloneta","Boys",51
2017,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Boys",90
2017,2,"Eixample",5,"el Fort Pienc","Boys",117
2017,2,"Eixample",6,"la Sagrada Família","Boys",207
2017,2,"Eixample",7,"la Dreta de l'Eixample","Boys",185
2017,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Boys",176
2017,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Boys",218
2017,2,"Eixample",10,"Sant Antoni","Boys",172
2017,3,"Sants-Montjuïc",11,"el Poble Sec","Boys",156
2017,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Boys",4
2017,3,"Sants-Montjuïc",13,"la Marina de Port","Boys",119
2017,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Boys",42
2017,3,"Sants-Montjuïc",15,"Hostafrancs","Boys",78
2017,3,"Sants-Montjuïc",16,"la Bordeta","Boys",81
2017,3,"Sants-Montjuïc",17,"Sants - Badal","Boys",108
2017,3,"Sants-Montjuïc",18,"Sants","Boys",155
2017,4,"Les Corts",19,"les Corts","Boys",199
2017,4,"Les Corts",20,"la Maternitat i Sant Ramon","Boys",101
2017,4,"Les Corts",21,"Pedralbes","Boys",32
2017,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Boys",17
2017,5,"Sarrià-Sant Gervasi",23,"Sarrià","Boys",122
2017,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Boys",74
2017,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Boys",104
2017,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Boys",206
2017,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Boys",127
2017,6,"Gràcia",28,"Vallcarca i els Penitents","Boys",66
2017,6,"Gràcia",29,"el Coll","Boys",26
2017,6,"Gràcia",30,"la Salut","Boys",62
2017,6,"Gràcia",31,"la Vila de Gràcia","Boys",241
2017,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Boys",149
2017,7,"Horta-Guinardó",33,"el Baix Guinardó","Boys",97
2017,7,"Horta-Guinardó",34,"Can Baró","Boys",41
2017,7,"Horta-Guinardó",35,"el Guinardó","Boys",148
2017,7,"Horta-Guinardó",36,"la Font d'en Fargues","Boys",26
2017,7,"Horta-Guinardó",37,"el Carmel","Boys",123
2017,7,"Horta-Guinardó",38,"la Teixonera","Boys",48
2017,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Boys",28
2017,7,"Horta-Guinardó",40,"Montbau","Boys",26
2017,7,"Horta-Guinardó",41,"la Vall d'Hebron","Boys",12
2017,7,"Horta-Guinardó",42,"la Clota","Boys",8
2017,7,"Horta-Guinardó",43,"Horta","Boys",99
2017,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Boys",92
2017,8,"Nou Barris",45,"Porta","Boys",104
2017,8,"Nou Barris",46,"el Turó de la Peira","Boys",82
2017,8,"Nou Barris",47,"Can Peguera","Boys",5
2017,8,"Nou Barris",48,"la Guineueta","Boys",47
2017,8,"Nou Barris",49,"Canyelles","Boys",35
2017,8,"Nou Barris",50,"les Roquetes","Boys",88
2017,8,"Nou Barris",51,"Verdun","Boys",50
2017,8,"Nou Barris",52,"la Prosperitat","Boys",127
2017,8,"Nou Barris",53,"la Trinitat Nova","Boys",38
2017,8,"Nou Barris",54,"Torre Baró","Boys",20
2017,8,"Nou Barris",55,"Ciutat Meridiana","Boys",49
2017,8,"Nou Barris",56,"Vallbona","Boys",5
2017,9,"Sant Andreu",57,"la Trinitat Vella","Boys",65
2017,9,"Sant Andreu",58,"Baró de Viver","Boys",11
2017,9,"Sant Andreu",59,"el Bon Pastor","Boys",66
2017,9,"Sant Andreu",60,"Sant Andreu","Boys",227
2017,9,"Sant Andreu",61,"la Sagrera","Boys",132
2017,9,"Sant Andreu",62,"el Congrés i els Indians","Boys",61
2017,9,"Sant Andreu",63,"Navas","Boys",98
2017,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Boys",148
2017,10,"Sant Martí",65,"el Clot","Boys",125
2017,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Boys",79
2017,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Boys",34
2017,10,"Sant Martí",68,"el Poblenou","Boys",160
2017,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Boys",103
